chunking,model,params,umap_n_components,umap_n_neighbors,hdbscan_cluster_size,hdbcscan_min_samples,bertopic_coherence,bertopic_diversity
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml26-4,64,145,26,4,0.45168729006108865,0.8366666666666667
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml28-5,64,145,28,5,0.445076729004715,0.8294339622641509
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml30-5,64,145,30,5,0.44825775375836163,0.8366666666666667
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml32-5,64,145,32,5,0.4411073379649569,0.8490909090909091
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml34-6,64,145,34,6,0.44321963948388376,0.8427272727272728
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml36-6,64,145,36,6,0.44278353205436305,0.9010526315789473
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml38-6,64,145,38,6,0.44029669758357975,0.8977777777777778
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml40-6,64,145,40,6,0.44029669758357975,0.8977777777777778
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml42-7,64,145,42,7,0.4434590474170004,0.9074285714285715
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml44-7,64,145,44,7,0.4434590474170004,0.9074285714285715
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml46-7,64,145,46,7,0.4421397451891823,0.9070588235294118
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml48-8,64,145,48,8,0.42447551697658453,0.9185714285714286
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml50-8,64,145,50,8,0.42447551697658453,0.9185714285714286
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml52-8,64,145,52,8,0.4280702042754116,0.9214814814814815
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml54-9,64,145,54,9,0.42970577180786224,0.9172413793103448
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml56-9,64,145,56,9,0.42970577180786224,0.9172413793103448
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml58-9,64,145,58,9,0.4250780286411723,0.9128571428571428
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml60-9,64,145,60,9,0.4250780286411723,0.9128571428571428
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml62-10,64,145,62,10,0.42139911075341324,0.9264
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml64-10,64,145,64,10,0.4235609522849243,0.925
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml66-10,64,145,66,10,0.4235609522849243,0.925
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml68-11,64,145,68,11,0.40148169143269125,0.9373913043478261
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml70-11,64,145,70,11,0.405555676643328,0.9504761904761905
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml72-11,64,145,72,11,0.405555676643328,0.9504761904761905
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml74-12,64,145,74,12,0.40165536603356194,0.9473684210526315
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml76-12,64,145,76,12,0.40165536603356194,0.9473684210526315
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml78-12,64,145,78,12,0.40165536603356194,0.9473684210526315
chunk_lgc_token,dangvantuan_sentence-camembert-large,umap_64-145_hdbscan_cuml80-12,64,145,80,12,0.40685658977170636,0.9444444444444444
