id,passage
NI_140749,Toumi Jéjé et ses compagnons sont même reçus par le président François Mitterrand
PHD98212508,"Au départ, l'initiative de Toumi Djadja, un jeune du quartier des Minguettes, dans la banlieue lyonnaise, blessé d'une balle dans le ventre au cours d'une rixe entre policiers et immigrés l'été dernier"
LXC00005692,"Qu'allez-vous faire ? Un comité de soutien ?
Alors un comité national de soutien, de solidarité avec Toumi Djadja est en train de se mettre en place"
LXC00005692,"Un peu partout en France, des associations de jeunes issus de l'immigration s'organisent, des personnalités sont en train de nous rejoindre et nous espérons bien faire la vérité sur tout ce mécanisme qui a conduit à la condamnation de Toumi Djadja sur toutes les campagnes qui depuis deux ans sont montées contre lui alors que Toumi est un des pacificateurs essentiels du quartier des Minguettes"
3538910001016,Le leader de la marche s'appelle Toumi Dja Dja
x17wv71,"J'aime à reprendre les propos de Toumi Tchadjaï qui était l'initiateur de la marche et qui nous a aussi accompagné depuis le début sur un certain nombre d'événements en région, que la lutte contre les discriminations et pour l'égalité c'est un combat au quotidien, c'était vrai il y a 30 ans, c'était vrai même avant 83 et ça reste complètement de l'actualité, c'est des valeurs
bien sûr de conviction, mais si lutter contre les discriminations et toutes les discriminations et pour l'égalité, même si c'est un horizon sur lequel il faut qu'on tende tous les jours, ça reste un combat au quotidien pour tout un chacun"
1501823432408903680,"Et c'est à ce moment-là qu'un petit groupe fait une grève de la faim, dont Toumi Diahidia,
qui va être aussi un fer de lance de cette marche"
x15zenj,Bonjour Toumi Djadja
x15zenj,"Ce jeune homme, c'était vous, Toumi Djadja"
CAB8301925501,"Elle est composée de 8 personnes, 4 français et 4 immigrés, dont le jeune Toumi Djaïjak, des Maguettes à Vénissieux, qui est à l'origine effectivement donc de cette marche"
PHY05039225,"Écoutez ce que disait à sa sortie de l'Élysée le jeune homme qui fut à l'origine de cette marche, Toumi Dja Dja"
CAC87043358,"C'est ce que disait tout à l'heure, sur le perron de l'Elysée, un jeune garçon de 20 ans, Toumi Jaïdja"
x17noeb,"Mitterrand, a profité du jour de Noël pour accorder sa grâce présidentielle au jeune Toumi Jéhidja, le fondateur de l'association SOS Minguet, et l'un des initiateurs de la triomphale marche des beurres en 1983"
x17noeb,"En novembre dernier, Toumi Jéhidja avait été condamné à deux ans de prison pour un vol qu'il a toujours affirmé ne pas avoir commis"
x7is2n,"Pour déjouer l'état de siège qui s'ensuit, onze jeunes parmi lesquels Toumi Djéja lancent une grève de la faim et créent l'association SOS Avenir Minguettes"
QqVXoTfgrHs,"Donc la genèse, en fait, j'ai appris l'existence de Toumi Djadja, qui est donc celui, le protagoniste, l'initiateur de cette vraie marche"
840541nIc0K1110986363,"Les lendemains ont été un peu décevants quand même, non ?
Écoutez, Toumi, il dit lui-même, je reprends les phrases de Toumi Diahidja parce qu'il a vécu de l'intérieur, ils n'étaient pas prêts pour ça"
E0MUBCJuuQA,"Et donc je dirais que, je disais tout à l'heure qu'il y avait des Toumi Djaïdjia en puissance dans cette salle, et alors que c'est ce que je souhaite, que cette inauguration ne soit que le début de vocation de meneur de la cause antiraciste, que cela booste le travail remarquable du CRVI"
E0MUBCJuuQA,"Toumi Djaïdjia, merci pour votre présence"
wXmpjo11ftQ,"Lorsque Toumi Diadja se prend la balle au mois de juin, c'était en plein ramadan"
x15yv55,"C'est-à-dire que lorsque Toumi Djadja se prend la balle au mois de juin, c'était en plein ramadan, et donc il sortait du ftor quand il s'est pris la balle"
anq1z5cyqxc,"à Lyon et donc on retrouve déjà Toumi Diadja, Christian Delorme et Jean Costil, les trois qui vont générer au mois d'octobre, enfin en juin quand Toumi Diadja est à l'hôpital à Lyon, qui vont générer la marche qui partira le 15 octobre de Marseille"
a5eceb4caa9887b5,"Toumi Djadja, une des figures de cette marche qu'on voit d'ailleurs témoigner dans votre documentaire, sur RTL, en 2013, évoquait son pire souvenir et c'est au micro d'Yves Calvi"
a5eceb4caa9887b5,"Est-ce que vous avez parlé de l'assassinat d'Abib Grimsy avec Toumi Djadja et les autres ? Est-ce que c'est imprégné en eux cet événement ?
Tous les marcheurs nous ont parlé de la mort de Habib Grimsy, qui avait provoqué une émotion très importante, mais bien au-delà des marcheurs"
a5eceb4caa9887b5,Écoutez justement ce qu'en disait Toumi Djadja il y a 10 ans sur RTL
b69b53e21cc7cd98,"Toumi Djadja, une des figures de cette marche qu'on voit d'ailleurs témoigner dans votre documentaire, sur RTL en 2013, évoquait son pire souvenir et c'est au micro"
b69b53e21cc7cd98,"Est-ce que vous avez parlé de l'assassinat d'Habib Grimsy avec Toumi Djadja et les autres et est-ce que c'est imprégné en eux cet événement ? Tous les marcheurs nous ont parlé de la mort de Habib Grimsy qui avait
provoquer une émotion très importante, mais bien au delà des marcheurs"
b69b53e21cc7cd98,Écoutez justement ce qu'en disait Toumi Djadja il y a dix ans sur RTL
097596-003-A,"Inspiré par ce qu'on a coutume d'appeler la marche des beurres, ce film, au casting de Choua, est venu rappeler, trente ans après les faits, une page oubliée de l'histoire de France, l'aventure collective des enfants d'immigrés, soudés autour de Jamel Attala, Toumi Jaïdja et du père Christian Delorme, qui luttaient pour leurs droits et clamaient haut et fort « Nous sommes d'ici »"
097596-003-A,"Comme les autres garçons de leur âge, Toumi Jaïdja et Jamel Attala ont grandi là"
16167-20.10.2023-ITEMA_23526059-2023F26102S0293-22,"il y a eu des pneus crevés de la camionnette qui ouvraient la route, il y a eu une menace d'attentat pour l'arrivée, il y a eu des choses comme ça, mais majoritairement, ce qui a été frappant est Toumi Djedja, qui a été la figure emblématique de cette marche"
16167-20.10.2023-ITEMA_23526059-2023F26102S0293-22,"Les marcheurs reçus à l'Elysée et dont, vous en parliez, l'emblématique Toumi Djadja, 19 ans à l'époque, interrogée par Antenne 2 lors de cette arrivée triomphale"
510b7be381867292,"Après une guerre, voilà-t-il pas que les enfants d'Algériens nés après 1963 sont français à la naissance ? Et plus encore, parce qu'il y avait en plus pas mal de gens qui étaient enfants de Harkis, donc il y avait quelque chose comme Toumi Diadja, mais qu'analytiquement ils étaient français"
ubjQoYCWB_8,"Le leader de la marche s'appelle Toumi Dja Dja, il sort de l'hôpital après avoir reçu une balle au ventre, victime d'une bavure policière"
